,id,title,channelID,views,likes,dislikes,duration_secs,dateUploaded,dateFound,discoveryTime_days
69,HWFjeUCzFq8,Lucian - When I Was Younger (feat. Kinslea),UCSa8IUd1uEjlREMa21I3ZPQ,96645,2888,74,156,2018-09-20 16:30:21,2018-09-20 20:12:40,0
70,-i6QfXbbV4s,Jome - Cinnamon,UCVoraDictyd89xgZt-J2Frw,1512549,26161,188,205,2016-06-20 23:58:58,2018-09-21 00:11:27,822
71,rSL3LX8YYOw,Johnny Balik - Honey,UCVkiPBYDHe73OuZF_zwIOog,1103183,50364,286,237,2018-07-13 14:19:42,2018-09-21 00:24:36,69
72,vGalFuPdock,James Vickery - Until Morning  | A COLORS SHOW,UC2Qw1dzXDBAZPwS7zm37g8g,4054476,63914,784,193,2018-06-04 13:00:05,2018-09-21 00:45:04,108
73,tRuM4zD48AA,Alec Benjamin - If We Have Each Other,UCMOgdURr7d8pOVlc-alkfRg,1864865,32217,940,185,2018-07-27 21:40:15,2018-09-21 01:56:45,55
74,mFMZh8UJr90,The Chainsmokers - This Feeling ft. Kelsea Ballerini,UC3ifTl5zKiCAhHIBQYcaTeg,471167,6968,159,197,2018-09-19 07:00:32,2018-09-21 02:02:24,1
75,Ey_hgKCCYU4,Jonas Blue - Perfect Strangers ft. JP Cooper,UCC6sWkXNQqyS2r6u6xQ_GdQ,462804069,2293898,62836,208,2016-06-14 09:00:01,2018-09-21 02:07:05,828
76,uGjCUY59B_0,Bea Miller - S.L.U.T. (Official Video),UCI_b24RN0XviTJSjezOyoSQ,8184331,241735,7481,187,2018-01-19 15:00:04,2018-09-21 02:10:13,244
77,OdYoA6s_jR4,Hailee Steinfeld - Most Girls (Lyrics),UCm4--U6UJnI1taBnkekOlxA,20450502,107614,4882,210,2017-05-02 09:24:20,2018-09-21 02:14:27,506
78,qdvWKABzj2k,Alina Baraz - Feels Right,UCWzZ5TIGoZ6o-KtbGCyhnhg,63849,1586,27,182,2018-09-20 23:13:43,2018-09-21 02:18:13,0
79,4CJGWielmwo,DIMA - Cruel (Feat. Teddy Sky) [Pop],UCvOGElQWhX8tyTxwzv1rKzg,12757,664,6,153,2018-09-20 21:03:58,2018-09-21 03:23:31,0
80,sUqSBAWQpWY,Victoria Canal - He Won't Know (Official Music Video),UC2a1zJeKXc6cwqFU8xaQ2jQ,1022,86,0,208,2018-09-07 14:21:55,2018-09-21 04:50:27,13
81,GkSwG2n3GkM,Victoria Canal - City Shoes | Official Music Video,UC2a1zJeKXc6cwqFU8xaQ2jQ,147806,2092,70,215,2016-02-11 15:00:11,2018-09-21 04:54:11,952
